0.00-2.00 :  well Büro�.
5.00-6.00 :  Thank you.
6.00-7.00 :  Quality.
7.00-8.00 :  Produced?
8.00-10.44 :  I think it's already inside.
15.36-22.30 :  I'm gonna sign that 거야.
22.30-28.32 :  I think we have that size of idea where we're going to move and
28.32-47.94 : 援
47.94-49.94 :  Yes, I do.
49.94-51.94 :  Okay.
55.94-59.94 :  Well, that's the key point for our project.
61.94-67.94 :  And this is just what we're going to be doing over the next 25 minutes.
67.94-71.94 :  So first of all, make sure that you don't need others.
71.94-73.94 :  I'm Laura and I'm a project manager.
73.94-75.94 :  Nice.
75.94-77.94 :  Can you introduce yourself today?
77.94-79.94 :  Hi, I'm David and I'm supposed to be in the district.
79.94-81.94 :  Okay.
81.94-85.94 :  I'm Andrew and I'm a marketing expert.
85.94-87.94 :  I'm David and I'm his employee.
87.94-89.94 :  Okay.
89.94-91.94 :  Okay.
91.94-93.94 :  So we're designing a new remote control.
93.94-97.94 :  And I have to record a piece here too.
97.94-101.94 :  So it's David, I'm James Craig.
101.94-107.94 :  And you arrive, don't you?
107.94-111.94 :  Yes, we're designing a new remote control.
111.94-115.94 :  It's a piece that's for your original trendier.
115.94-119.94 :  That's kind of our break.
119.94-121.94 :  We're live.
121.94-125.94 :  And so there are three different stages to the design.
125.94-129.94 :  I'm not sure what will be guys' ability to see each.
129.94-131.94 :  I'm going to ask you to do that.
131.94-135.94 :  You just got the project in that seat.
135.94-137.94 :  Okay.
137.94-139.94 :  Yeah.
139.94-141.94 :  Sorry, the video doubts.
141.94-143.94 :  Okay.
143.94-153.94 :  So we're going to have individual work in a meeting by the repeat process three times.
153.94-157.94 :  And this is when you get to try out the white voice over there.
157.94-165.94 :  So get your favorite animal and sum up the pivot path.
165.94-167.94 :  So here that's the way.
167.94-175.94 :  All right.
175.94-180.94 :  So.
180.94-185.94 :  This one here, right?
185.94-187.94 :  All right.
187.94-195.94 :  Favorite animal.
195.94-212.94 :  How big of a girl.
212.94-214.94 :  Is that right?
214.94-216.94 :  Yeah.
216.94-222.94 :  I'm probably pretty pretty old.
222.94-228.94 :  You're willing to take a lot of physical affection.
228.94-234.94 :  And they have lots of personality.
234.94-236.94 :  You fit and robust.
236.94-238.94 :  Good.
238.94-240.94 :  That's good.
240.94-244.94 :  That one's bigger.
244.94-254.94 :  That one's bigger.
254.94-264.94 :  I'm going to be a monkey.
264.94-268.94 :  And then the smoke.
268.94-270.94 :  Sorry.
270.94-272.94 :  One plant.
272.94-274.94 :  Come real.
274.94-278.94 :  I'm going to be up there.
278.94-288.94 :  I'm going to be up there.
288.94-292.94 :  You can take as long as it is you like.
292.94-294.94 :  We do.
294.94-298.94 :  Don't feel like you're in a rush.
298.94-306.94 :  I could talk to a lot more about the.
306.94-312.94 :  I'm going to be up there.
312.94-316.94 :  Impressionist.
316.94-320.94 :  Is that a wheel?
320.94-322.94 :  Yeah.
322.94-324.94 :  Well, I don't know.
324.94-328.94 :  It's just the first animal I think off the top of my head.
328.94-332.94 :  It's big reason is because I'm allergic to most animal.
