0.00-21.84 :  each system
21.84-28.84 :  Okay, I'll start meeting. Okay, we've got half an hour for this one.
28.84-32.84 :  To discuss the functional design.
32.84-36.84 :  Already the girls. Okay.
36.84-39.84 :  So hopefully, we'll be working our way.
39.84-45.84 :  And I've put the moments of the last meeting in the project.
45.84-52.84 :  So I guess just to recap on what we did last time.
52.84-59.84 :  Got to ninch of a little bit and got the new equipment and started to discuss a better
59.84-60.84 :  widely project.
60.84-63.84 :  You know, cost wise how much money you had to spend.
75.84-103.84 :  And just want to tell you that we have three new requirements.
103.84-112.84 :  And which is the first one is that the company has decided that teletext is outdated.
112.84-116.84 :  Because of popular internet is new users teletext very much anymore.
116.84-121.84 :  So we don't really need to consider that functionality of the remote control.
121.84-128.84 :  And they've also suggested that we only use the remote control to control the television.
128.84-130.84 :  And we see already be here.
130.84-141.84 :  And I think the worry is that if the project becomes too complex, then it will affect how long it takes us to get into production the time to market.
141.84-145.84 :  So we're just going to keep it in full and it will just control the TV.
145.84-151.84 :  And the other thing was that the company wants the corporate color and slogan to be implemented in the lead sign.
151.84-154.84 :  I'm not entirely sure what the corporate color is.
154.84-157.84 :  You might be yellow.
157.84-162.84 :  And the slogan like the actual written slogan or just to embody the idea of the slogan.
162.84-164.84 :  Well, that's the thing.
164.84-166.84 :  I'm not sure.
166.84-169.84 :  Because on the company website.
169.84-171.84 :  I would just say.
171.84-173.84 :  In fashion in electron.
173.84-179.84 :  Yeah, I mean, do they start something they won't actually written like.
179.84-183.84 :  And or you just the idea that I'm not sure is that something we can discuss as well.
183.84-191.84 :  So the three things is not to worry about tell effects only control the TV and.
191.84-196.84 :  And they're incorporated the color and so on of the company.
196.84-198.84 :  So.
198.84-201.84 :  So it's okay.
201.84-203.84 :  You can.
203.84-206.84 :  But I'm trying to presentation.
206.84-209.84 :  So you'd like to go first.
209.84-211.84 :  I love it.
211.84-214.84 :  Yeah.
214.84-217.84 :  Yeah.
217.84-219.84 :  Yeah.
219.84-221.84 :  Oh, yeah.
221.84-223.84 :  Of course.
223.84-226.84 :  Yeah.
226.84-229.84 :  Yeah.
229.84-232.84 :  Yeah.
232.84-235.84 :  Yeah.
235.84-237.84 :  Yeah.
237.84-239.84 :  Yeah.
239.84-242.84 :  Yeah.
242.84-245.84 :  Yeah.
245.84-252.84 :  Yeah.
252.84-260.84 :  Yeah.
260.84-266.84 :  Yeah.
266.84-271.84 :  And I'm thinking of the.
271.84-274.84 :  I've got mine on the beach.
274.84-276.84 :  And I'm thinking of the products.
276.84-278.84 :  They see what they offer.
278.84-281.84 :  And I would like to ask you guys.
281.84-283.84 :  For your ideas.
283.84-285.84 :  and what we want to offer is anything.
285.84-287.84 :  Thank you.
287.84-290.84 :  I've really, really been existing products.
290.84-294.84 :  I found that I tend to find it to have deep themes.
294.84-296.84 :  It's a very concrete one,
296.84-298.84 :  lots of what's color, very unique.
298.84-300.84 :  You don't know what you're doing.
300.84-303.84 :  In that case, the relief impact is very bad.
303.84-305.84 :  It's an exemplar, sure, at the end.
305.84-307.84 :  So you can try to figure it out.
307.84-317.84 :  You can see it in the bottom there and there.
317.84-321.84 :  This one's called, so I found it's perp, you know, perp.
321.84-325.84 :  And don't let me tell you what it does.
325.84-337.84 :  I'm not sure if you had one together before, not the example.
337.84-339.84 :  It's a very simple one.
339.84-351.84 :  It's got a very big, not very cheap product.
351.84-357.84 :  It's very hard to access the advantage functions.
357.84-362.84 :  There's nothing for instance for a small small.
362.84-365.84 :  My own preferences, I prefer the quantity one.
365.84-367.84 :  It's very easy to use.
367.84-370.84 :  And of course it does slide the advantage functions.
370.84-373.84 :  Which I like, I like having them in the girls.
373.84-377.84 :  And I believe that the advantage functions you may be hitting the drawer.
377.84-380.84 :  I'm not sure if I can follow.
380.84-383.84 :  I have a few preferences.
383.84-387.84 :  I'm sure I've had one before.
387.84-391.84 :  I would keep a chat away for a few months or so.
391.84-393.84 :  I was just kidding.
393.84-400.84 :  Yeah, a lot of what I've read and prepared for this meeting fits me really closely with what.
400.84-406.84 :  I could give you some of my personal preferences, but I also add some of this.
406.84-410.84 :  Which is the kind of marketing.
410.84-414.84 :  Which is the kind of one.
414.84-420.84 :  Clunky in what sense, like heavier, larger.
420.84-422.84 :  I think it's just the same size.
422.84-425.84 :  But it's got much more.
425.84-428.84 :  I see as much as basic.
428.84-431.84 :  Right.
431.84-433.84 :  Yeah.
433.84-435.84 :  Sure.
435.84-437.84 :  Well, I think it's valid point.
437.84-441.84 :  I mean, like the one on the left, let's quite complicated.
441.84-445.84 :  And that theology, theology thing is incredibly convenient.
